   emu(eV)      n(10^20/cm3)               DOS            intDOS       tau(1E-14s)         |vk|(m/s)        sigma(S/m)       ke(Wm-1K-1)      L(1E-8V2K-2)           S(uV/K)   PF(1E-4Wm-1K-2)
  -1.80000    -1532.9867         9.0018459         16.076873         1.0945591         129460.58         1781801.0         38.560765         2.7051818         45.354918         36.652869    
  -1.79000    -1515.4538         9.1181182         16.167491         1.0894695         127432.24         1735141.8         38.691595         2.7873511         44.435946         34.261299    
  -1.78000    -1497.7166         9.2130652         16.259164         1.0844835         125633.40         1690966.4         38.833130         2.8706314         43.161951         31.501926    
  -1.77000    -1479.8157         9.2874829         16.351684         1.0795887         124058.35         1649508.9         38.979464         2.9538688         41.522787         28.439873    
  -1.76000    -1461.7897         9.3426261         16.444850         1.0747762         122701.03         1610991.5         39.123326         3.0356559         39.513258         25.152370    
  -1.75000    -1443.6744         9.3801192         16.538477         1.0700408         121555.32         1575622.4         39.256132         3.1143354         37.134804         21.727733    
  -1.74000    -1425.5021         9.4018504         16.632400         1.0653809         120615.21         1543594.4         39.368206         3.1880304         34.397176         18.263280    
  -1.73000    -1407.3013         9.4098587         16.726469         1.0607981         119874.98         1515081.0         39.449129         3.2547046         31.319900         14.861977    
  -1.72000    -1389.0967         9.4062241         16.820558         1.0562977         119329.21         1490232.6         39.488235         3.3122542         27.933317         11.627841    
  -1.71000    -1370.9087         9.3929678         16.914561         1.0518874         118972.77         1469172.8         39.475183         3.3586233         24.278995         8.6603269    
  -1.70000    -1352.7542         9.3719705         17.008392         1.0475771         118800.67         1451994.2         39.400565         3.3919355         20.409406         6.0481927    
  -1.69000    -1334.6464         9.3449109         17.101980         1.0433786         118807.99         1438756.0         39.256469         3.4106261         16.386836         3.8634682    
  -1.68000    -1316.5956         9.3132287         17.195274         1.0393043         118989.63         1429481.4         39.036969         3.4135604         12.281591         2.1561938    
  -1.67000    -1298.6097         9.2781068         17.288234         1.0353671         119340.13         1424156.1         38.738483         3.4001261         8.1696714        0.95053208    
  -1.66000    -1280.6942         9.2404741         17.380828         1.0315793         119853.44         1422726.4         38.359989         3.3702886         4.1300878        0.24268334    
  -1.65000    -1262.8534         9.2010208         17.473037         1.0279529         120522.66         1425097.6         37.903110         3.3246066        0.24204995        0.83493872E-03
  -1.64000    -1245.0903         9.1602257         17.564844         1.0244986         121339.78         1431131.2         37.372082         3.2642081        -3.4178044        0.16717598    
  -1.63000    -1227.4072         9.1183876         17.656238         1.0212259         122295.38         1440642.3         36.773629         3.1907321        -6.7780015        0.66184985    
  -1.62000    -1209.8059         9.0756617         17.747209         1.0181429         123378.38         1453394.4         36.116774         3.1062433        -9.7745632         1.3886034    
  -1.61000    -1192.2881         9.0320940         17.837748         1.0152562         124575.73         1469095.7         35.412590         3.0131282        -12.353037         2.2418037    
  -1.60000    -1174.8554         8.9876566         17.927848         1.0125713         125872.22         1487394.1         34.673912         2.9139816        -14.470198         3.1144044    
  -1.59000    -1157.5096         8.9422787         18.017498         1.0100922         127250.29         1507874.2         33.914979         2.8114895        -16.095406         3.9063304    
  -1.58000    -1140.2526         8.8958763         18.106690         1.0078220         128690.03         1530057.0         33.151025         2.7083162        -17.211576         4.5326158    
  -1.57000    -1123.0864         8.8483790         18.195412         1.0057628         130169.27         1553403.5         32.397791         2.6070007        -17.815727         4.9305045    
  -1.56000    -1106.0132         8.7997531         18.283654         1.0039159         131663.91         1577323.3         31.670976         2.5098672        -17.919039         5.0646585    
  -1.55000    -1089.0351         8.7500244         18.371404         1.0022820         133148.38         1601190.4         30.985631         2.4189527        -17.546396         4.9296811    
