   emu(eV)      n(10^20/cm3)               DOS            intDOS            DOSvk2         |vk|(m/s)             sigma                ke      L(1E-8V2K-2)           S(uV/K)                PF  EFF(10^-20 W^5/3 m s^-1/3 K^-2)
  -1.65000    -1262.8534         9.2010208         17.473037        0.13365138E+12     120522.66        0.13810339E+21    0.34291808E+16     3.1038166        -10.218096         1.4419305        0.13441005E-01
  -1.64000    -1245.0903         9.1602257         17.564844        0.13486914E+12     121339.78        0.13936171E+21    0.33899829E+16     3.0406333        -13.141963         2.4069326        0.22502869E-01
  -1.63000    -1227.4072         9.1183876         17.656238        0.13637607E+12     122295.38        0.14091884E+21    0.33445043E+16     2.9666937        -15.750518         3.4958979        0.32783711E-01
  -1.62000    -1209.8059         9.0756617         17.747209        0.13815176E+12     123378.38        0.14275368E+21    0.32935621E+16     2.8839555        -17.990012         4.6200877        0.43461973E-01
  -1.61000    -1192.2881         9.0320940         17.837748        0.14017009E+12     124575.73        0.14483924E+21    0.32381436E+16     2.7946015        -19.815700         5.6872858        0.53673202E-01
  -1.60000    -1174.8554         8.9876566         17.927848        0.14239877E+12     125872.22        0.14714216E+21    0.31793841E+16     2.7009459        -21.193120         6.6088654        0.62575935E-01
  -1.59000    -1157.5096         8.9422787         18.017498        0.14479907E+12     127250.29        0.14962241E+21    0.31185410E+16     2.6053425        -22.099123         7.3071283        0.69421291E-01
  -1.58000    -1140.2526         8.8958763         18.106690        0.14732571E+12     128690.03        0.15223322E+21    0.30569608E+16     2.5100967        -22.522624         7.7223134        0.73620656E-01
  -1.57000    -1123.0864         8.8483790         18.195412        0.14992728E+12     130169.27        0.15492145E+21    0.29960395E+16     2.4173859        -22.465029         7.8185376        0.74804514E-01
  -1.56000    -1106.0132         8.7997531         18.283654        0.15254710E+12     131663.91        0.15762854E+21    0.29371757E+16     2.3291909        -21.940280         7.5878577        0.72864660E-01
  -1.55000    -1089.0351         8.7500244         18.371404        0.15512474E+12     133148.38        0.16029204E+21    0.28817169E+16     2.2472395        -20.974466         7.0516989        0.67972358E-01
  -1.54000    -1072.1543         8.6992959         18.458651        0.15759815E+12     134596.42        0.16284784E+21    0.28309021E+16     2.1729657        -19.604956         6.2591265        0.60566956E-01
  -1.53000    -1055.3724         8.6477628         18.545387        0.15990634E+12     135981.86        0.16523292E+21    0.27858040E+16     2.1074825        -17.879057         5.2818470        0.51313077E-01
  -1.52000    -1038.6908         8.5957198         18.631605        0.16199245E+12     137279.68        0.16738852E+21    0.27472746E+16     2.0515703        -15.852224         4.2063564        0.41029478E-01
  -1.51000    -1022.1101         8.5435599         18.717301        0.16380682E+12     138467.09        0.16926333E+21    0.27158991E+16     2.0056760        -13.585888         3.1242008        0.30597864E-01
  -1.50000    -1005.6300         8.4917602         18.802477        0.16530987E+12     139524.52        0.17081644E+21    0.26919611E+16     1.9699224        -11.145011         2.1217325        0.20864288E-01
  -1.49000    -989.24934         8.4408531         18.887139        0.16647435E+12     140436.66        0.17201972E+21    0.26754231E+16     1.9441253        -8.5954589         1.2709146        0.12547876E-01
